repo	file_name	file_volume	file_type	total_volume	num_of_drafts	main_file_type
draft-ietf-detnet-yang	draft-ietf-detnet-yang-07.xml draft-ietf-detnet-yang-09.xml draft-ietf-detnet-yang-10.xml draft-ietf-detnet-yang-12.xml draft-ietf-detnet-yang-12.v2v3.xml draft-ietf-detnet-yang-11.xml draft-ietf-detnet-yang-08.xml	{'draft-ietf-detnet-yang-07.xml': 8, 'draft-ietf-detnet-yang-09.xml': 6, 'draft-ietf-detnet-yang-10.xml': 12, 'draft-ietf-detnet-yang-12.xml': 2, 'draft-ietf-detnet-yang-12.v2v3.xml': 2, 'draft-ietf-detnet-yang-11.xml': 2, 'draft-ietf-detnet-yang-08.xml': 4}	{'xml': 36}	36	7	xml
data-plane-drafts	draft-ietf-detnet-data-plane-framework.xml draft-ietf-detnet-ip-over-mpls.xml draft-ietf-detnet-mpls-over-udp-ip.xml draft-ietf-detnet-tsn-vpn-over-mpls.xml draft-ietf-detnet-ip-over-tsn.xml draft-ietf-detnet-ip.xml draft-ietf-detnet-mpls-over-tsn.xml draft-ietf-detnet-mpls.xml draft-ietf-detnet-mpls-10.xml draft-ietf-detnet-data-plane-framework-02.xml	{'draft-ietf-detnet-data-plane-framework.xml': 52, 'draft-ietf-detnet-ip-over-mpls.xml': 52, 'draft-ietf-detnet-mpls-over-udp-ip.xml': 44, 'draft-ietf-detnet-tsn-vpn-over-mpls.xml': 38, 'draft-ietf-detnet-ip-over-tsn.xml': 36, 'draft-ietf-detnet-ip.xml': 54, 'draft-ietf-detnet-mpls-over-tsn.xml': 36, 'draft-ietf-detnet-mpls.xml': 84, 'draft-ietf-detnet-mpls-10.xml': 2, 'draft-ietf-detnet-data-plane-framework-02.xml': 2}	{'xml': 400}	400	10	xml
draft-ietf-detnet-dp-sol-mpls	draft-ietf-detnet-dp-sol-mpls-01.xml draft-ietf-detnet-dp-sol-mpls-00.xml draft-ietf-detnet-dp-sol-mpls-02.xml	{'draft-ietf-detnet-dp-sol-mpls-01.xml': 4, 'draft-ietf-detnet-dp-sol-mpls-00.xml': 20, 'draft-ietf-detnet-dp-sol-mpls-02.xml': 14}	{'xml': 38}	38	3	xml
draft-ietf-detnet-dp-sol-ip	draft-ietf-detnet-dp-sol-ip-00.xml draft-ietf-detnet-dp-sol-ip-02.xml draft-ietf-detnet-dp-sol-ip-01.xml	{'draft-ietf-detnet-dp-sol-ip-00.xml': 12, 'draft-ietf-detnet-dp-sol-ip-02.xml': 14, 'draft-ietf-detnet-dp-sol-ip-01.xml': 4}	{'xml': 30}	30	3	xml
yang	draft-ietf-dhc-dhcpv6-yang-15.xml draft-ietf-dhc-dhcpv6-yang-17.xml draft-ietf-dhc-dhcpv6-yang-19.xml draft-ietf-dhc-dhcpv6-yang-07.xml draft-ietf-dhc-dhcpv6-yang-22.xml draft-ietf-dhc-dhcpv6-yang-13.xml draft-ietf-dhc-dhcpv6-yang-10-if-24-10-19.xml draft-ietf-dhc-dhcpv6-yang-10-if-8-10-19.xml draft-ietf-dhc-dhcpv6-yang-21.xml draft-ietf-dhc-dhcpv6-yang-20.xml draft-ietf-dhc-dhcpv6-yang-14.xml draft-ietf-dhc-dhcpv6-yang-25.xml draft-ietf-dhc-dhcpv6-yang-23.xml	{'draft-ietf-dhc-dhcpv6-yang-15.xml': 4, 'draft-ietf-dhc-dhcpv6-yang-17.xml': 2, 'draft-ietf-dhc-dhcpv6-yang-19.xml': 2, 'draft-ietf-dhc-dhcpv6-yang-07.xml': 10, 'draft-ietf-dhc-dhcpv6-yang-22.xml': 2, 'draft-ietf-dhc-dhcpv6-yang-13.xml': 2, 'draft-ietf-dhc-dhcpv6-yang-10-if-24-10-19.xml': 2, 'draft-ietf-dhc-dhcpv6-yang-10-if-8-10-19.xml': 8, 'draft-ietf-dhc-dhcpv6-yang-21.xml': 2, 'draft-ietf-dhc-dhcpv6-yang-20.xml': 2, 'draft-ietf-dhc-dhcpv6-yang-14.xml': 2, 'draft-ietf-dhc-dhcpv6-yang-25.xml': 2, 'draft-ietf-dhc-dhcpv6-yang-23.xml': 2}	{'xml': 42}	42	13	xml
draft-ietf-dmarc-dmarcbis	draft-ietf-dmarc-dmarcbis.md draft-ietf-dmarc-dmarcbis-01.xml draft-ietf-dmarc-dmarcbis-03.xml	{'draft-ietf-dmarc-dmarcbis.md': 114, 'draft-ietf-dmarc-dmarcbis-01.xml': 54, 'draft-ietf-dmarc-dmarcbis-03.xml': 2}	{'md': 114, 'xml': 56}	170	3	md
draft-ietf-dnsop-glue-is-not-optional	draft-ietf-dnsop-glue-is-not-optional.md	{'draft-ietf-dnsop-glue-is-not-optional.md': 44}	{'md': 44}	44	1	md
draft-ietf-dnsop-terminology-bis	draft-ietf-dnsop-terminology-bis-latest.xml rfc8499.xml draft-ietf-dnsop-terminology-bis-05.xml draft-ietf-dnsop-terminology-bis-06.xml	{'draft-ietf-dnsop-terminology-bis-latest.xml': 90, 'rfc8499.xml': 8, 'draft-ietf-dnsop-terminology-bis-05.xml': 6, 'draft-ietf-dnsop-terminology-bis-06.xml': 2}	{'xml': 106}	106	4	xml
draft-ietf-doh-dns-over-https	draft-ietf-doh-dns-over-https-latest.mkd	{'draft-ietf-doh-dns-over-https-latest.mkd': 272}	{'mkd': 272}	272	1	mkd
draft-ietf-dnssd-srp	draft-ietf-dnssd-srp.xml	{'draft-ietf-dnssd-srp.xml': 34}	{'xml': 34}	34	1	xml
eap-aka-pfs	draft-ietf-emu-aka-pfs-latest.xml draft-arkko-eap-aka-pfs.xml	{'draft-ietf-emu-aka-pfs-latest.xml': 12, 'draft-arkko-eap-aka-pfs.xml': 2}	{'xml': 14}	14	2	xml
gnap-core-protocol	draft-ietf-gnap-core-protocol.md	{'draft-ietf-gnap-core-protocol.md': 412}	{'md': 412}	412	1	md
gnap-resource-servers	draft-ietf-gnap-resource-servers.md	{'draft-ietf-gnap-resource-servers.md': 34}	{'md': 34}	34	1	md
draft-ietf-git-github-wg-configuration	draft-ietf-git-github-wg-configuration.md	{'draft-ietf-git-github-wg-configuration.md': 26}	{'md': 26}	26	1	md
ace-key-groupcomm	draft-ietf-ace-key-groupcomm.md draft-palombini-ace-key-groupcomm.md	{'draft-ietf-ace-key-groupcomm.md': 52, 'draft-palombini-ace-key-groupcomm.md': 6}	{'md': 58}	58	2	md
ace-oscore-profile	draft-ietf-ace-oscore-profile.xml rfc9203.xml	{'draft-ietf-ace-oscore-profile.xml': 38, 'rfc9203.xml': 2}	{'xml': 40}	40	2	xml
using-github	draft-thomson-github-bcp.md draft-ietf-git-using-github.md draft-thomson-git-using-github.md	{'draft-thomson-github-bcp.md': 6, 'draft-ietf-git-using-github.md': 66, 'draft-thomson-git-using-github.md': 2}	{'md': 74}	74	3	md
mediatypes	draft-ietf-httpapi-rest-api-mediatypes.md draft-ietf-httpapi-yaml-mediatypes.md	{'draft-ietf-httpapi-rest-api-mediatypes.md': 22, 'draft-ietf-httpapi-yaml-mediatypes.md': 32}	{'md': 54}	54	2	md
ratelimit-headers	draft-ietf-httpapi-ratelimit-headers.md	{'draft-ietf-httpapi-ratelimit-headers.md': 94}	{'md': 94}	94	1	md
linkset	draft-ietf-httpapi-linkset-03.xml draft-ietf-httpapi-linkset-10.xml draft-ietf-httpapi-linkset-01.xml draft-ietf-httpapi-linkset-00.xml	{'draft-ietf-httpapi-linkset-03.xml': 16, 'draft-ietf-httpapi-linkset-10.xml': 2, 'draft-ietf-httpapi-linkset-01.xml': 2, 'draft-ietf-httpapi-linkset-00.xml': 2}	{'xml': 22}	22	4	xml
link-template	draft-ietf-httpapi-link-template.md	{'draft-ietf-httpapi-link-template.md': 6}	{'md': 6}	6	1	md
rfc7807bis	draft-ietf-httpapi-rfc7807bis.md	{'draft-ietf-httpapi-rfc7807bis.md': 40}	{'md': 40}	40	1	md
deprecation-header	draft-ietf-httpapi-deprecation-header.md	{'draft-ietf-httpapi-deprecation-header.md': 12}	{'md': 12}	12	1	md
idempotency	draft-ietf-httpapi-idempotency-key-header.md	{'draft-ietf-httpapi-idempotency-key-header.md': 18}	{'md': 18}	18	1	md
ietf-homenet-hna	draft-ietf-homenet-front-end-naming-delegation.mkd draft-ietf-homenet-front-end-naming-delegation.md	{'draft-ietf-homenet-front-end-naming-delegation.mkd': 48, 'draft-ietf-homenet-front-end-naming-delegation.md': 10}	{'mkd': 48, 'md': 10}	58	2	mkd
draft-ice-pac	draft-ietf-ice-pac.xml	{'draft-ietf-ice-pac.xml': 28}	{'xml': 28}	28	1	xml
trickle	draft-ietf-ice-trickle.xml	{'draft-ietf-ice-trickle.xml': 6}	{'xml': 6}	6	1	xml
rfc5245bis	draft-ietf-ice-rfc5245bis.xml	{'draft-ietf-ice-rfc5245bis.xml': 82}	{'xml': 82}	82	1	xml
mud-reporter	draft-lear-opsawg-mud-reporter.mkd	{'draft-lear-opsawg-mud-reporter.mkd': 6}	{'mkd': 6}	6	1	mkd
draft-ietf-jsonpath-base	draft-ietf-jsonpath-base.md draft-normington-jsonpath-latest.md draft-normington-jsonpath-latest.xml	{'draft-ietf-jsonpath-base.md': 428, 'draft-normington-jsonpath-latest.md': 2, 'draft-normington-jsonpath-latest.xml': 6}	{'md': 430, 'xml': 6}	436	3	md
iregexp	draft-bormann-jsonpath-iregexp.md draft-ietf-jsonpath-iregexp.md	{'draft-bormann-jsonpath-iregexp.md': 12, 'draft-ietf-jsonpath-iregexp.md': 12}	{'md': 24}	24	2	md
edhoc	draft-ietf-lake-edhoc.md draft-ietf-lake-traces.md	{'draft-ietf-lake-edhoc.md': 248, 'draft-ietf-lake-traces.md': 4}	{'md': 252}	252	2	md
documentsigning-eku	draft-ietf-lamps-documentsigning-eku.md	{'draft-ietf-lamps-documentsigning-eku.md': 30}	{'md': 30}	30	1	md
smime	draft-schaad-rfc5750-bis.xml draft-ietf-lamps-rfc5751-bis.xml draft-schaad-curdle-oid-registry.xml draft-schaad-rfc5751-bis.xml draft-ietf-lamps-rfc5750-bis.xml	{'draft-schaad-rfc5750-bis.xml': 14, 'draft-ietf-lamps-rfc5751-bis.xml': 26, 'draft-schaad-curdle-oid-registry.xml': 16, 'draft-schaad-rfc5751-bis.xml': 24, 'draft-ietf-lamps-rfc5750-bis.xml': 18}	{'xml': 98}	98	5	xml
draft-ietf-mops-streaming-opcons	draft-ietf-mops-streaming-opcons.md draft-jholland-mops-taxonomy.md	{'draft-ietf-mops-streaming-opcons.md': 184, 'draft-jholland-mops-taxonomy.md': 8}	{'md': 192}	192	2	md
draft-ietf-masque-connect-ip	draft-ietf-masque-connect-ip.md draft-age-masque-connect-ip.md	{'draft-ietf-masque-connect-ip.md': 114, 'draft-age-masque-connect-ip.md': 30}	{'md': 144}	144	2	md
draft-ietf-masque-connect-udp	draft-ietf-masque-connect-udp.md	{'draft-ietf-masque-connect-udp.md': 132}	{'md': 132}	132	1	md
draft-ietf-masque-h3-datagram	draft-ietf-masque-h3-datagram.md draft-schinazi-quic-h3-datagram.md draft-schinazi-masque-h3-datagram.md draft-h3-datagram.md	{'draft-ietf-masque-h3-datagram.md': 176, 'draft-schinazi-quic-h3-datagram.md': 2, 'draft-schinazi-masque-h3-datagram.md': 14, 'draft-h3-datagram.md': 2}	{'md': 194}	194	4	md
mls-architecture	draft-rescorla-mls-architecture.md draft-ietf-mls-architecture.md draft-omara-mls-architecture.md	{'draft-rescorla-mls-architecture.md': 36, 'draft-ietf-mls-architecture.md': 138, 'draft-omara-mls-architecture.md': 12}	{'md': 186}	186	3	md
mls-protocol	draft-ietf-mls-protocol.md draft-barnes-mls-protocol.md	{'draft-ietf-mls-protocol.md': 906, 'draft-barnes-mls-protocol.md': 92}	{'md': 998}	998	2	md
mls-federation	draft-ietf-mls-federation.md	{'draft-ietf-mls-federation.md': 10}	{'md': 10}	10	1	md
